Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2012,5/25/12,RACING INJURY,Finger Lakes Gaming & Racetrack,"Main Track, Finish of Race",Racing,Thoroughbred,Partly Cloudy 85 to 90 : degrees F,Delastmanstanding,CHARLTON A. BAKER,DENNIS CARR,Delastmanstanding-Tr. Charlton Baker-heat stroke-received cold water bath and was revived,Injury
2012,4/28/12,RACING INJURY,Belmont Park (NYRA),"Inner Turf, Finish of Race",Racing,Thoroughbred,Cloudy 50 to 55 : degrees F,Outstanding Hope,BRUCE F. ALEXANDER,JOSE L. ORTIZ,Outstanding Hope-Tr. Bruce Alexander-pulled up-ambulanced off-lacerated  ankle and  grabbed a quarter,Equine Injury
2011,11/20/11,RACING INJURY,Aqueduct Racetrack (NYRA),"Main Track, 1/16 pole",Racing,Thoroughbred,Clear 50 to 55 : degrees F,B G Suavecito,DIANE C. BALSAMO,CHARLES C. LOPEZ, BG Suavecito-Tr. Diane Balsamo-ambulanced off-possible fx RF sesamoid-to farm to recoup,Equine Injury
2012,6/9/12,RACING INJURY,Finger Lakes Gaming & Racetrack,"Main Track, 1/8 Pole",Racing,Thoroughbred,Partly Cloudy 75 to 80 : degrees F,River City Rebel,TIMOTHY P. MURPHY,EMANUEL DE DIEGO,River City Rebel - Tr. Timothy Murphy - pulled up - ambulanced off - LF bowed tendon,Equine Injury
2011,11/13/11,RACING INJURY,Aqueduct Racetrack (NYRA),"Main Track, First Turn",Racing,Thoroughbred,Clear 60 to 65 : degrees F,Dancin On the Sand,RALPH D'ALESSANDRO,JUNIOR R. ALVARADO,Dancin on the Sand-Tr. Ralph D'Alessandro-pulled up-ambulanced off-horse tied up-back in training,Equine Injury
2012,6/19/12,RACING INJURY,Finger Lakes Gaming & Racetrack,"Main Track, Finish of Race",Racing,Thoroughbred,Hot above 90 : degrees F,American Trilogy,LUIS A. GUTIERREZ,OMAR CAMEJO,American Trilogy- Tr. Luis Guttierez-suffered heat stroke-cooled with water -jogged off track-fine next day,Equine Injury
2012,6/17/12,RACING INJURY,Belmont Park (NYRA),"Inner Turf, 1/16 pole ",Racing,Thoroughbred,Clear 70 to 75 : degrees F,Strolldownbroadway,HAROLD (JAMES) J. BOND,RAMON A. DOMINGUEZ,Strolldownbroadway - Tr. Harold Bond - pulled up - ambulanced off - LF suspensory issue - under treatment,Equine Injury
2012,8/18/12,RACING INJURY,Saratoga Racecourse (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Partly Cloudy 75 to 80 : degrees F,Zo Impressive,THOMAS ALBERTRANI,RAJIV C. MARAGH,Zo Impressive-Tr. Thomas Albertrani-pulled up-ambulanced off-fx RF Condylar-surgery at Rood & Riddle-doing well-convalescing-retired,Equine Injury
2012,4/21/12,RACING INJURY,Aqueduct Racetrack (NYRA),Finish of Race,Racing,Thoroughbred,Cloudy 55 to 60 : degrees F,King Congie,THOMAS ALBERTRANI,RAJIV C. MARAGH,King Congie-Tr. Thomas Albertrani-pulled up-ambulanced off-fx LF sesamoid-retired,Injury
2012,5/17/12,RACING INJURY,Belmont Park (NYRA),"Widener Turf, Finish of Race",Racing,Thoroughbred,Clear 60 to 65 : degrees F,Waywardwillie,WILLIAM BADGETT JR,OMAR HERNANDEZ,Waywardwillie-Tr. William Badgett-pulled up-ambulanced off-upper suspensory activity-will be rested until inflammation subsides,Equine Injury
2012,5/13/12,RACING INJURY,Belmont Park (NYRA),"Inner Turf, Finish of Race",Racing,Thoroughbred,Clear 65 to 70 : degrees F,Mitigation,GARY P. GULLO,IRAD ORTIZ JR,Mitigation-Tr. Gary Gullo-pulled up-ambulanced off- Fx LF Cannon bone-received screws to stabalize fracture-retired,Equine Injury
2011,11/13/11,RACING INJURY,Aqueduct Racetrack (NYRA),"Turf, Finish of Race",Racing,Thoroughbred,Clear 60 to 65 : degrees F,Targhee Pass,HARRY A. JERKENS,CORNELIO VELASQUEZ,Targhee Pass-Tr. Harry Jerkens-pulled up-ambulanced off-R L suspensory issue-sent to farm to recoup,Equine Injury
2012,1/22/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, 1/4 Pole",Racing,Thoroughbred,Cloudy 20 to 30 : degrees F,Poppy Day,ROBERT S. YOUNG, ,Poppy Day-Tr. Robert Young-pulled up-ambulanced-LF tendon injury-time off,Equine Injury
2012,7/29/12,RACING INJURY,Saratoga Racecourse (NYRA),"Mellon Turf, Finish of Race",Racing,Thoroughbred,Mostly Cloudy 75 to 80 : degrees F,Tutti Va Bene,GARY J. SCIACCA,MAYLAN L. STUDART,Tutti Va Bene-Tr. Gary Sciacca-pulled up-ambulanced off-injury RF sesamoid-retired,Equine Injury
2012,6/19/12,RACING INJURY,Finger Lakes Gaming & Racetrack,"Main Track, Finish of Race",Racing,Thoroughbred,Hot above 90 : degrees F,Track Magnet,JOHN W. TEBBUTT JR,RODOLFO IGNACIO,Track Magnet- Tr. John Tebbutt-suffered heat stroke-cooled with water-walked off-doing fine,Equine Injury
2012,5/11/12,RACING INJURY,Belmont Park (NYRA),"Main Track, 1/4 Pole",Racing,Thoroughbred,Clear 60 to 65 : degrees F,Crimsons Gold,DOUGLAS G. NUNN,CHARLES C. LOPEZ,Crimson Gold-Tr. Douglas Nunn-pulled up-ambulanced off-re-bowed L tendon-retired,Equine Injury
2012,5/27/12,RACING INJURY,Belmont Park (NYRA),"Inner Turf, Post Parade",Racing,Thoroughbred,Partly Cloudy 70 to 75 : degrees F,Bangzoomtothemoon,DOMINICK A. SCHETTINO,ANNA (ROSIE) R. NAPRAVNIK,Bangzoomtothemoon-Tr. Dominick Schettino-unseated rider & ran loose-tried to jump rail & fell-helped up-fell again-minor scrapes & soreness reported,Equine Injury
2012,3/11/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, 1/8 Pole",Racing,Thoroughbred,Sunny 40 to 45 : degrees F,Stormrageous,DOMINICK A. SCHETTINO,RYAN A. CURATOLO,Stormrageous-Tr. Dominick Shettino-pulled up-ambulanced off-bowed L tendon-stall rest-retired to broodmare,Injury
2012,10/6/12,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,70-75 degrees-Mostly Cloudy,Superestrella,DOMINICK A. SCHETTINO,RAMON A. DOMINGUEZ,Superestrella-Tr. Dominick Schettino-pulled up-ambulanced off-LF suspensory issue-given time off,Injury
2011,11/5/11,RACING INJURY,Aqueduct Racetrack (NYRA),During Race,Racing,Thoroughbred,,Bourbon Bandit,BRUCE N. LEVINE, ,Bourbon Bandit-Tr. Bruce Levine-fx R carpus-retired to owner's farm (See Case #723.12 also),Injury
2012,11/4/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Mostly Cloudy 50 to 55 : degrees F,Duke of Naples,BRUCE N. LEVINE,WILMER GARCIA,Duke of Naples-Tr. Bruce Levine-pulled up-ambulanced off-suffered bowed tendon RF leg-retired,Equine Injury
2013,6/13/13,RACING INJURY,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,Oatka Idas Rose,MICHAEL A. LECESSE,PEDRO A. RODRIGUEZ,Oatka Idas Rose-Tr. Michael Lecesse-pulled up-ambulanced off-possible sesamoid problem-retirement recommended,Lameness
2011,12/14/11,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Clear 45 to 50 : degrees F,Spina,CHRISTOPHER J. ENGLEHART, ,Spina-Tr. Chris Englehart-claimed by Carlos Martin-ambulanced from paddock-chip fracture-under vet care- to be re-evaluated,Steward's List
2011,6/26/11,RACING INJURY,Belmont Park (NYRA),After the finish,Racing,Thoroughbred,85* Cloudy,Casa Di Vino,CHRISTOPHER J. ENGLEHART, , Casa Di Vino-Tr. Cristopher Englehart-ambulanced off-bowed tendon-retired,Injury
2012,2/22/12,RACING INJURY,Aqueduct Racetrack (NYRA),Finish of Race,Racing,Thoroughbred,Rain 45 to 50 : degrees F,High Stakes Player,CHRISTOPHER J. ENGLEHART,ANNA (ROSIE) R. NAPRAVNIK,High Stakes Player-Tr. Chris Englehart-pulled up-ambulanced off-fx RF coffin bone-retired,Injury
2012,10/2/12,RACING INJURY,Finger Lakes Gaming & Racetrack,"Main Track, 3/8 Pole",Racing,Thoroughbred,Partly Cloudy 60 to 65 : degrees F,Thunder Reigns,KARL M. GRUSMARK,JOEL SONE,Thunder Reigns-Tr. K. Grusmark-pulled up-ambulanced off-vet checked-bowed tendon-retired,Equine Injury
2011,11/14/11,RACING INJURY,Finger Lakes Gaming & Racetrack,"Main Track, First Turn",Racing,Thoroughbred,,Fiddlers Zephyr,JONATHAN B. BUCKLEY,GABRIEL J. SUAREZ,Fiddlers Zephyr-Tr. Jonathan Buckley-lost action behind unseating rider-sustained abrasions RF leg-to farm-no longer racing,Injury
2012,6/30/12,RACING INJURY,Belmont Park (NYRA),"Main Track, 3/8 Pole",Racing,Thoroughbred,Hazy above 90 : degrees F,Monarchic,EOIN G. HARTY,JOSE LEZCANO,Monarchic-Tr. Eoin Harty-pulled up-ambulanced off-fx RF cannon bone-surgery & retired,Equine Injury
2012,8/25/12,RACING INJURY,Saratoga Racecourse (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Clear 80 to 85 : degrees F,Street Life,CHAD C. BROWN,JOSE LEZCANO,Street Life-Tr. Chad Brown-pulled up-ambulanced off-sustained a rupture of the distal sesamoiden ligament LF ankle-currently resting-currently resting before reevaluation,Equine Injury
2011,11/5/11,RACING INJURY,Aqueduct Racetrack (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Clear 50 to 55 : degrees F,It's the Big Cat,LEAH A. GYARMATI,ARIEL E. SMITH,It's the Big Cat -Tr. Leah Gyarmati-pulled up-ambulanced off-bled-retired,Equine Injury
2012,1/2/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Sunny 20 to 30 : degrees F,So Be It Rachael,ANTONIO G. ARRIAGA,OSCAR D. GOMEZ,SoBeItRachael-Tr. Antonio Arriaga-stumbled after finish-ambulanced off-injury to R knee-to be rested & re-evaluated for racing,Steward's List
2012,3/17/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, After Finish",Racing,Thoroughbred,Clear 50 to 55 : degrees F,Red Bendel,RAINDRANAUTH PERSAUD,JOSE L. ESPINOZA,Red Bendel-Tr. Linda Rice-pulled up-ambulanced off-RF anke chip Fx-surgery to remove chip,Equine Injury
2012,4/5/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Main Track, 1/8 Pole",Racing,Thoroughbred,Clear 60 to 65 : degrees F,Bomber Bay,JUAN SEREY,JUNIOR R. ALVARADO,Bomber Bay-Tr. Juan Serey-pulled up-ambulanced off-grabbed a quarter-back in training,Equine Injury
2011,11/4/11,RACING INJURY,Aqueduct Racetrack (NYRA),"Aqueduct Turf, First Turn",Racing,Thoroughbred,Clear 45 to 50 : degrees F,Bella Bonfire,GEORGE R. WEAVER,ARIEL E. SMITH,Bella Bonfire-Tr. George Weaver-pulled up-ambulance off-has roached back travels awkwardly-no other problems found-to farm,Equine Injury
2012,5/10/12,RACING INJURY,Belmont Park (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Partly Cloudy 60 to 65 : degrees F,Cosmic King,DALE L. ROMANS,JULIEN R. LEPAROUX,Cosmic King-Tr. Dale Romans-pulled up-ambulanced off-LH Condular Fx- leg received 4 screws horse will be retired,Equine Injury
2012,1/28/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Clear 45 to 50 : degrees F,Excess Capital,RODOLFO (RUDY) RODRIGUEZ,MICHAEL J. LUZZI,Excess Capitalk-Tr. Rudy Rodriguez-pulled up-ambulanced off-chip L sesamoid-retired,Equine Injury
2012,8/10/12,RACING INJURY,Saratoga Racecourse (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Cloudy 75 to 80 : degrees F,Richiesbronxbomber,WESLEY A. WARD,JOHN R. VELAZQUEZ,Richiesbronxbomber-Tr. Wesley Ward-pulled up-ambulanced off-injured RF knee-convelescing-to be re-evaluated,Equine Injury
2012,12/31/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,,Squeal,WILLIAM I. MOTT,JUNIOR R. ALVARADO,Squeal-Tr. William Mott-stumbled-unseating rider-ran off into rail-torn R pectoral muscle-sutured & sent to New Bolton for further evaluation; Lady of Gold-Tr. Philip Serpe-tried to avoid fallen horse-also unseating rider-horse uninjured-rider to hospital,Equine Injury
2012,5/6/12,RACING INJURY,Belmont Park (NYRA),Main Track-Finish of Race,Racing,Thoroughbred,Partly Cloudy 60 to 65 : degrees F,Snipp,CLEVELAND J. JOHNSON,JOSE L. ORTIZ,Snipp-Tr. Cleveland Johnson-pulled up-ambulanced off-chip LF ankle-retired,Equine Injury
2011,12/9/11,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Clear 45 to 50 : degrees F,Southern Ridge,TODD A. PLETCHER,CORNELIO VELASQUEZ,Southern Ridge-Tr. Todd Pletcher-pulled up-ambulanced off-sustained a LF soft tissue injury,Equine Injury
2012,12/12/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, 1/8 Pole",Racing,Thoroughbred,Mostly Cloudy 30 to 40 : degrees F,Slash Five,TODD A. PLETCHER,RAJIV C. MARAGH,Slash Five- Tr. Todd Pletcher-pulled up-ambulanced off-partial torn LF suspensory-retired,Equine Injury
2013,5/27/13,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred, ,Baker Street,KIARAN P. MC LAUGHLIN,IRAD ORTIZ JR,Baker Street-Tr. Kiaran McLaughlin -pulled up-ambulanced off-fx LF sesamoid-to Kentucky for surgery,Injury
2012,8/4/12,RACING INJURY,Saratoga Racecourse (NYRA),"Mellon Turf, Finish of Race",Racing,Thoroughbred,Clear 85 to 90 : degrees F,Equus Prime,DARRELL W. LUKAS,ALAN GARCIA,Equus Prime-Tr. Darrell W.  Lukas-pulled up-ambulanced off-stress fx RF cannon bone-to Rood & Riddle for surgery,Equine Injury
2012,1/6/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Clear 45 to 50 : degrees F,Page by Page,MARK A. HENNIG, ,Page by Page-Tr. Mark Hennig-ambulanced  off-chip fx R ankle-surgery,Equine Injury
2012,5/18/12,RACING INJURY,Belmont Park (NYRA),After the finish,Racing,Thoroughbred,Clear 65-70 *,Daybeforethederby,PHILLIP E. SCOTT,WILMER GARCIA,Daybeforethederby-Tr. Phillip Scott-pulled up-ambulanced off-fx LF sesamoid- retired,Injury
2012,2/4/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Cloudy 40 to 45 : degrees F,Candyman E,ANTHONY W. DUTROW,RAMON A. DOMINGUEZ,Candyman-Tr. Anthony Dutrow-pulled up-ambulance off-fx RL condular fx-surgery-prognosis good,Equine Injury
2011,10/10/11,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,Clear,Coljak,RICHARD E. DUTROW JR,RAMON A. DOMINGUEZ,Coljak-Tr. Richard Dutrow-ambulanced off-sustained  run down abrasions-back in training,Injury
2012,5/16/12,RACING INJURY,Belmont Park (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Cloudy 70 to 75 : degrees F,Afleet's Acclaim,LINDA L. RICE,CORNELIO VELASQUEZ,Afleet's Acclaim-Tr. Linda Rice-pulled up-ambulanced off- LF fetlock chip & possible suspensory activity-to Patty Hogan for work up and/or surgery,Equine Injury
2012,7/14/12,RACING INJURY,Belmont Park (NYRA),"Widener Turf, 1/4 Pole",Racing,Thoroughbred,Partly Cloudy 80 to 85 : degrees F,Royal Blessing,LINDA L. RICE,CORNELIO VELASQUEZ,Royal Blessing - Tr. Linda Rice - pulled up - ambulanced off - lame RH leg - sent to NJ Clinic - horse sound,Equine Injury
2011,9/17/11,RACING INJURY,Belmont Park (NYRA),5/8 pole,Racing,Thoroughbred,66* cloudy,D J's Revenge,LINDA L. RICE,ALEX O. SOLIS,D J's Revenge-Tr. Linda Rice-pulled up-ambulanced off-claimed by Tr. David Jacobson-possible pulled back muscle,Injury
2012,12/31/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,,Lady of Gold,PHILIP M. SERPE,RAJIV C. MARAGH,Squeal-Tr. William Mott-stumbled-unseating rider-ran off into rail-torn R pectoral muscle-sutured & sent to New Bolton for further evaluation; Lady of Gold-Tr. Philip Serpe-tried to avoid fallen horse-also unseating rider-horse uninjured-rider to hospital,Equine Injury
2012,7/6/12,RACING INJURY,Belmont Park (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Sunny above 90 : degrees F,Cardiac Rhythm,CARL J. DOMINO,JOSE L. ORTIZ,Cardiac Rhythm - Tr. Carl Domino - pulled up - vanned off - fx LF sesamoid - retired,Injury
2012,2/16/12,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, 5/8 Pole",Racing,Thoroughbred,Rain 40 to 45 : degrees F,I Love Lassie,EDUARDO E. JONES,RUBEN SILVERA,I Love Lassie-Tr. Eduardo Jones-broke from gate-pulled up-ambulance off-developed buckshins-treated & in sound condition,Equine Injury
2012,11/22/12,RACING INJURY,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred,Clear 50 to 55 : degrees F,Missile Motor,NAIPAUL R. CHATTERPAUL,JULIO X. PEZUA,Missile Motor-Tr. Naipaul Chatterpaul-pulled up-ambulanced off-torn ligament RF leg-retired,Equine Injury
2012,6/6/12,RACING INJURY,Belmont Park (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Partly Cloudy 60 to 65 : degrees F,Charlestonian,DAVID JACOBSON,ANNA (ROSIE) R. NAPRAVNIK,Charlestonian - Tr. David Jacobson - pulled up - ambulanced off - fx LF coffin bone - to farm to heal,Equine Injury
2009,4/16/09,RACING INJURY,Aqueduct Racetrack (NYRA),Aqueduct Barn#9,Racing,Thoroughbred,Fair,Fighting Speedy,DAVID JACOBSON, ,Fighting Speedy-Tr. Jacobson-vanned off track after race, 
2011,12/17/11,RACING INJURY,Aqueduct Racetrack (NYRA),"Inner Track, Post Parade",Racing,Thoroughbred,Sunny 40 to 45 : degrees F,Deerslayer,AMY WEAVER,MICHAEL J. LUZZI,Deerslayer - Tr. Amy Weaver - unseated rider ran into 5 posts - LF lameness & shoulder swelling - back in training within a week,Equine Injury
2012,8/16/12,RACING INJURY,Saratoga Racecourse (NYRA),"Inner Turf, Finish of Race",Racing,Thoroughbred,Clear 80 to 85 : degrees F,Primero Peru,RAFAEL A. FERNANDEZ,MARK P. WATTS,Primero Peru-Tr. Rafael Fernandez-steeplechase-ambulanced off- pulled tendon-retired,Equine Injury
2015,5/25/15,RACING INJURY,Belmont Park (NYRA),Finish,Racing,Thoroughbred,83* Clear,Royal Suspicion,JAMES T. RYERSON,KENDRICK CARMOUCHE,Royal Suspicion-Tr. James Ryerson-ambulanced off-slightly off in LF leg-xrays negative-to Hogan Clinic where nothing was found-to be retired,Lameness
2014,12/27/14,RACING INJURY,Aqueduct Racetrack (NYRA),vicinity of 1/2 mile pole,Racing,Thoroughbred, ,Isn't He Perfect,EUGENE A. REIFF,RUBEN SILVERA,Isn't He Perfect-Tr. Eugene Reiff-pulled up-ambulanced off-reinjured old torn suspensories from previous years-retired to stud,Injury
2015,4/16/15,RACING INJURY,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,58* Clear,Alphabet Dancer,CHARLTON A. BAKER,FERNANDO JARA,Alphabet Dancer-Tr. Charlton Baker-pulledup-ambulanced off-fx RF knee-to surgery-filly to be retired, 
2014,11/6/14,RACING INJURY,Finger Lakes Gaming & Racetrack,1/2 mile pole,Racing,Thoroughbred,Clear,Secret Duke,DANIEL C. JACOBS,EMANUEL DE DIEGO,Secret Duke-Tr. Daniel Jacobs-pulled up -ambulanced off-possible pelvis injury-retired,Injury
2014,7/1/14,RACING INJURY,Finger Lakes Gaming & Racetrack,1/4 pole,Racing,Thoroughbred,Cloudy/91,Mommy's Dearest,NEVILLE G. HENRY,MIGUEL A. OSORIO,Mommy's Dearest-Tr. Neville Henry-pulled up-vanned off-suffered torn tendon LF leg-no longer racing-seeking good home, 
2015,2/26/15,RACING INJURY,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred, ,Blue Ballerina,DEBRA A. BREED,OSCAR D. GOMEZ,Blue Ballerina-Tr. Debra Breed-ambulanced off after finish-fx RF sesamoid-retired to broodmare,Injury
2014,8/6/14,RACING INJURY,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred, ,Giulio Cesari,GARY J. SCIACCA,TAYLOR B. RICE,Giulio Cesari-Tr. Gary Sciacca-pulled up-ambulanced off-xrays revealed chip in L knee joint-scheduled surgery to remove chip-otherwise doing well, 
2014,8/31/14,RACING INJURY,Saratoga Racecourse (NYRA),after finish,Racing,Thoroughbred,Showery  82*,Revealing Moment,CARLOS F. MARTIN,WILMER GARCIA,Revealing Moment-Tr. Carlos Martin-switched leads-took bad step-pulled up-ambulanced off-strained RF flexor tendon-retired-will become brood mare,Steward's List
2015,4/11/15,RACING INJURY,Aqueduct Racetrack (NYRA),Before Finish,Racing,Thoroughbred, ,Pegasus T,CHRISTOPHER J. ENGLEHART,CHARLES C. LOPEZ,Pegasus T-Tr. Christopher Englehart-pulled up-ambulanced off-broke LF sesamoid-to surgery then retired,Steward's List
2013,9/13/13,RACING INJURY,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,Cloudy,Slick Daddy,JONATHAN B. BUCKLEY,GABRIEL J. SUAREZ,Slick Daddy-Tr. Jon Buckley-DNF race-LF bowed tendon-2182815/2007140, 
2015,6/13/15,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred, ,Tiz the Moment,JASON SERVIS,IRAD ORTIZ JR,Tiz the Moment-Tr. Jason Servis-ambulanced off-Came out of race with RF bowed tendon-to be retired,Steward's List
2013,8/29/13,RACING INJURY,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred,80* Clear,River Dancer,DAVID A. CANNIZZO,RAJIV C. MARAGH,River Dancer-Tr. David Cannizzo-pulled up-ambulanced off-torn LF suspensory-to Cornell for treatment,Injury
2013,7/15/13,RACING INJURY,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,Loopy de Loop,CHRISTINE E. ATTWOOD,JOEL SONE,Loopy de Loop-Tr. Christine Attwood-pulled up-ambulanced off-DNF-heat stroke-treated by examining vet,Injury
2013,11/7/13,RACING INJURY,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,Cloudy/rain,Grand Treasure,CHRISTOPHER J. PROGNO,RODOLFO IGNACIO,Grand Treasure-Tr. C. Progno-horse flipped-sustained LR cuts/abrasions/scrapes-Jockey R. Ignacio to Strong Memorial Hospital,Injury
2014,10/7/14,RACING INJURY,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,Alpha Zumba,JARED A. SCHOENEMAN,CHARLIE AMARO,Alpha Zumba-Tr. Jared Schoeneman-pulled up-ambulanced off-fx RF knee-retired from racing,Injury
2014,7/22/14,RACING INJURY,Finger Lakes Gaming & Racetrack,After finish,Racing,Thoroughbred,Clear,Token Sacrifice,NIRKA Y. HUERTAS,OSCAR D. GOMEZ,Token Sacrifice-Tr. Nirka Huertas-pulled up after wire-vanned off-suffered a tendon injury to LF leg-retired from racing,Injury
2014,10/5/14,RACING INJURY,Belmont Park (NYRA),1/8 Pole,Racing,Thoroughbred, ,Savvy Star,WILLIAM I. MOTT,JOSE LEZCANO,Savvy Star-Tr.William Mott-pulled up-ambulanced off-fx pelvis during race-retired from racing, 
2015,6/6/15,RACING INJURY,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,Clear,Alpha J,RONALD R. BREED JR,MICHAEL A. DAVILA JR,Alpha J-Tr. Ronald Breed  Jr.-ambulanced off-fx knee-will not race again-sold as brood mare, 
2015,5/30/15,RACING INJURY,Belmont Park (NYRA),1/2 pole,Racing,Thoroughbred,83* Clear,Eastern  Rose,CLAUDE R. MC GAUGHEY III,LUIS SAEZ,Eastern Rose-Tr. Shug McGaughey-pulled up-ambulanced off-DNF-sustained crack in RF cannon bone-to Hogan Clinic-to be retired for breeding, 
2014,5/17/14,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,70* Clear,Schoolyard Dreams,EDWARD J. KENNEALLY,RAJIV C. MARAGH,School Yard Dreams-Tr. Eddie Kenneally-pulled up-ambulanced off-sustained fx RF ankle-retired from racing, 
2015,4/26/15,RACING INJURY,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred, ,Perchance,KIARAN P. MC LAUGHLIN,IRAD ORTIZ JR,Perchance-Tr. Kiaran McLaughlin-pulled up-ambulanced off-saucer fx LF cannon bone-retired to broodmare, 
2013,8/4/13,RACING INJURY,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred,80* Partly cloudy,Eleven Bravo,THOMAS M. BUSH,JOSE L. ESPINOZA,Eleven Bravo - Tr. Tom Bush - pulled up - ambulanced off - medial fx RF sesamoid - retired, 
2014,9/14/14,RACING INJURY,Belmont Park (NYRA),final stretch,Racing,Thoroughbred,fair,Kato,LISA L. LEWIS,JOSE LEZCANO,Kato-Tr. Lisa L. Lewis-pulled up-ambulanced off-bowed tendon LF leg-retired from racing,Injury
2014,7/26/14,RACING INJURY,Finger Lakes Gaming & Racetrack,After the finish,Racing,Thoroughbred, ,Coach A.J.,SALVATORE . IORIO JR,DEAN J. FRATES,Coach A.J.-Tr. Sal Iorio  Jr.-vanned off after the finish-developed chip in RF leg/sesamoid bone and will no longer race,Injury
2013,9/1/13,RACING INJURY,Saratoga Racecourse (NYRA),1/16 pole,Racing,Thoroughbred,85* Cloudy,Victorious Leader,LEO O'BRIEN,ROBBY J. ALBARADO,Victorious Leader-Tr. Leo O'Brien-pulled up-ambulanced off-bled during race-horse retired,Steward's List
2015,2/8/15,RACING INJURY,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred, ,The Spotted Wonder,LEO O'BRIEN,MANUEL FRANCO,The Spotted Wonder-Tr. Leo O'Brien-pulled up-ambulanced off-ruptured LF suspensory-retired, 
2013,8/1/13,RACING INJURY,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred, ,Orebanks,PAUL(DOUG) D. FOUT,WILLIE J. MC CARTHY,Orebanks-Tr. Paul (Doug) Fout-pulled up-ambulanced off-RF suspensory issue-retired, 
2014,3/20/14,RACING INJURY,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,50* partly cloudy,Love Contract,ROBERT A. DONATO,EDDIE CASTRO,Love Contract-Tr. Robert Donato-pulled up-ambulanced off-bowed LF tendon-to be retired, 
2013,10/13/13,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,66* Clear,Silent No More,PAUL J. SIMEONE,TAYLOR B. RICE,Silent No More-TR .Paul Simione-pulled upambulanced off-slab fx R knee-to be retired,Injury
2015,5/29/15,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,82* Clear,Nic N Jr,JANE CIBELLI,JOSE LEZCANO,Nic N Jr-Tr. Jane Cibelli-took a bad step-ambulanced off-pulled LF suspensory from sesamoid-out for year-sent to NJ to be stabled (x-ref R0225.15),Injury
