"","country","year","ISO2","ISO3","region","subregionid","cap.lat","cap.long","Reg.Market","Unreg.Market","Reg.Market.Bordering","Unreg.Market.Bordering","Armed.Conflict","Non.State.Conflict","High.Illegal","NGDP_RPCH","NGDPD","PCPI","PCPIPCH","GGX_NGDP","GGXWDG_NGDP","BCA","GNI","Resource.Depletion","Adult.literacy","Primary.ed.enrollment","Mean.Schooling","Pop.MultiDim.Povert","Deprivation.Intensity","Pop.Below.National.Poverty","PPP.125.day","International.Dev.Aid","Voice.Accountability","Political.Stability","Government.Effectiveness","Rule.Law","Corruption.Control","Reg.Quality","Non.State.Conflict.Deaths","PIKE.regional","Definite.Possible","Elephant.range","Tot.Carcasses","Illegal.Carcasses","Percent.Illegal"
"151","Malawi",2015,"MW","MWI","Southern Africa","FS",-14,33.48,0,0,0,1,0,0,2,0.156135478854254,-0.324751093602327,1.24628344601541,0.716259320751594,2.02670822388743,0.149432591817234,0.136136804425915,-0.131308577561291,-0.776968643704103,0.492599368375902,1.16842738295916,0.123395006341546,-0.290867980697355,-0.304018052215584,0.359321072762621,1.3763139840303,-1.14792786960218,-0.0528878669067317,0.640110876122681,0.759187773249433,0.414611778971444,1.05186339869127,0.195141724177453,-0.234032680090493,-0.499233657596989,0.167452895220149,0.815750786045066,-0.520141596080755,-0.466042564465749,1.46555919341513
"155","Mozambique",2006,"MZ","MOZ","Southern Africa","FS",-25.58,32.32,0,1,2,0,0,0,1,0.910077731294562,-0.295175346536102,-0.299031553626783,0.421976857123222,-0.0387567225659869,-0.0240755505734544,0.0345611588385065,-0.698672912850926,0.071480382561422,-0.441798757266975,0.77220360877552,-1.05690960400577,0.0678937598399994,0.579818686586877,0.647106202984379,0.806585849148602,0.433107736657924,0.671678536051037,1.18823695945274,0.23252998366264,0.188588086208842,0.0528123500977251,0.0551159250464483,-0.234032680090493,-0.770141505896082,0.905481067917847,0.615533494565066,-0.498612082821637,-0.466042564465749,-0.403921868795752
"156","Mozambique",2008,"MZ","MOZ","Southern Africa","FS",-25.58,32.32,0,1,2,0,0,0,2,0.215096021058404,-0.27071221745425,-0.24397931410823,0.210606160437391,0.138763600508015,-0.217476767186945,-0.113225824411745,-0.698672912850926,0.0551503788471293,-0.441798757266975,0.77220360877552,-0.648756656857597,0.0678937598399994,0.579818686586877,0.647106202984379,0.806585849148602,0.967233825611037,0.685543914265008,1.02218820784065,0.334554108121569,0.204643016016831,0.271015476494682,0.196051623795357,-0.234032680090493,-0.753064106007353,-0.470960464814687,-0.0771644793412751,-0.358670246637369,-0.20915785468205,1.11504901975927
"157","Mozambique",2010,"MZ","MOZ","Southern Africa","FS",-25.58,32.32,0,1,2,0,0,0,2,0.495472216433461,-0.276132824473826,-0.188354831300273,0.382439892275513,0.735392945169004,-0.129555106917616,-0.0748279979479335,-0.655277938640463,-0.634853953476227,-0.441798757266975,0.77220360877552,-0.872071603833862,0.0678937598399994,0.579818686586877,0.647106202984379,0.806585849148602,1.01432250086511,0.630082401409127,1.02218820784065,0.215525962919486,0.236752875632809,0.338154900001438,0.280613043044703,-0.234032680090493,-0.710545808800302,-1.23063325646719,-0.161850954150358,0.427156987320444,0.936943158199065,0.929979648068982
"159","Mozambique",2012,"MZ","MOZ","Southern Africa","FS",-25.58,32.32,0,1,2,0,0,0,2,0.487318098894589,-0.237423002592147,-0.138292066249763,-0.385706853337126,0.899886426656521,-0.145703084110655,-1.22921846681055,-0.626817271892929,-0.578928643247682,-0.441798757266975,0.77220360877552,-0.872071603833862,0.0678937598399994,0.579818686586877,0.647106202984379,0.806585849148602,1.19376926264823,0.505293997483396,1.02218820784065,0.113501838460558,-0.196730229182894,0.0863820618511031,0.181958053920466,-0.234032680090493,-0.597356500835524,0.214394357400796,0.48336110219735,1.01921860194619,2.2016063448265,1.30965226817301
"160","Mozambique",2013,"MZ","MOZ","Southern Africa","FS",-25.58,32.32,0,1,2,0,1,0,2,0.563841355797848,-0.230779239118478,-0.119544402057736,-0.232410599522839,1.31686378325663,-0.0176868556403285,-1.22229792831998,-0.612838357836719,-0.562151050179118,-0.441798757266975,0.77220360877552,-0.872071603833862,0.0678937598399994,0.579818686586877,0.647106202984379,0.806585849148602,1.49477854894441,0.380505593557665,0.335853367843988,0.130505859203712,-0.196730229182894,-0.014327073409031,0.23833233342003,-0.234032680090493,-0.682966095384275,0.127378235236841,2.35689277497657,0.588628336763831,1.43095221547541,1.27684451591882
"161","Mozambique",2014,"MZ","MOZ","Southern Africa","FS",-25.58,32.32,0,1,2,0,0,0,2,0.548996680278363,-0.221433971821742,-0.10892746273091,-0.371514096725128,1.95624485348781,0.170272955288741,-1.12049903955545,-0.599965688777763,0.913204615809823,-0.441798757266975,0.77220360877552,-0.889938329900343,0.0678937598399994,0.579818686586877,0.647106202984379,0.806585849148602,1.16171963311397,0.463697862841486,0.25836395042501,-0.0565383689709894,-0.196730229182894,-0.115036208669165,0.280613043044703,-0.234032680090493,-0.605235008883312,-0.50634728039616,1.02385234245793,1.09457189835311,2.37944960544599,1.35423716226203
"162","Mozambique",2015,"MZ","MOZ","Southern Africa","FS",-25.58,32.32,0,1,2,0,0,0,2,0.366469895369769,-0.21934844606908,-0.0851805837595312,-0.175060276886601,1.40461732521649,0.300866691714845,-1.38013085454041,0.131750275297713,-1.05010250390071,-0.441798757266975,0.77220360877552,-0.559114457974809,0.0678937598399994,0.579818686586877,0.647106202984379,0.806585849148602,1.05421033409881,0.225690175416724,0.706905538944117,-0.265890693962959,0.147539510305256,0.860903257597411,-0.213218102615433,-0.234032680090493,-0.499233657596989,-0.220479168986015,0.951427385067361,0.319509421024854,0.996224245072227,1.32367267511924
"164","Namibia",2003,NA,"NAM","Southern Africa","FS",-22.35,17.04,1,0,0,0,0,0,1,-0.102914562957599,-0.324847890156248,-0.441649191813381,-0.0146676447663152,0.768196900800424,-0.50073828253223,0.233024343293905,0.666282562169965,0.504298074703037,1.19214876725292,0.544239245546576,-0.0706785988824988,-0.73612135456304,-0.959276324086373,-1.22349714345704,-1.03636081325133,-0.654224510863406,1.08763988247014,1.13288737558204,1.59285164311502,1.55325711988791,1.36203110847947,1.14032080541305,-0.234032680090493,-1.18348617247809,-0.155244606856141,0.2773384650405,-0.251022680341778,-0.446282202174695,-1.12288833699865
"165","Namibia",2004,NA,"NAM","Southern Africa","FS",-22.35,17.04,1,0,0,0,0,0,1,1.57223389143834,-0.310020418032895,-0.435768478860563,-0.237551853193512,0.506949514075108,-0.444671976998418,0.273208115174638,0.666282562169965,-0.423074390466546,1.19214876725292,0.544239245546576,0.881155082503379,-0.73612135456304,-0.959276324086373,-1.22349714345704,-1.03636081325133,-0.635947662932836,1.22629366460984,1.36535562783898,1.35479535271085,1.15188387468818,1.26132197321933,1.0557593861637,-0.234032680090493,-1.07129613758806,-0.398460919034848,-0.207311739176227,-0.423258786414724,-0.485802926756802,-1.33852219583173
